,Title,Company,Work_Environment,Job_Description,When_Posted,Pay,City,State,Rating
89,Data Engineer,CyberCoders,,"Work with our data science and product management teams to design, rapidly prototype, and productize new data product ideas and capabilities.",Posted 2 days ag,220000.0,,CA,3.9
90,Analytics Manager - Partner Success Team,Klarna,,"We are on a mission to liberate humanity from all the meaningless time spent managing their purchases and finances, so they can do more of what they love.…",Posted 5 days ago·,172500.0,Los Angeles,CA,
91,Senior Business Data Analyst,USC,,"Who We Are: USC is a leading private research university located in Los Angeles – a global center for arts, technology and international business. As the city…",Posted 13 days ago·,113304.12,Los Angeles,CA,
92,"Developer, Data Insights & Analytics",USC,,"The University of Southern California (USC), founded in 1880, is in the heart of downtown L.A. and is the largest private employer in the City of Los Angeles.…",Posted 30+ days ago·,,Los Angeles,CA,
93,"Data Engineer, Product Analytics",Meta,,"As a highly collaborative organization, our data engineers work cross-functionally with software engineering, data science, and product management to optimize…",Posted 30+ days ago·,171000.0,Los Angeles,CA,
94,Machine Learning Engineer,Tencent,,"Work Mode: Onsite Responsibilities: As a Machine Learning Engineer, you will be a crucial member of our development team, working closely with game designers,…",Posted 30+ days ago·,,Los Angeles,CA,
95,Sr. Bioinformatician - Jonsson Cancer Center,UCLA Health,,Description Thenewly formed Cancer Data Sciences group at the UCLA David Geffen School ofMedicine and UCLA Jonsson Cancer Centre is seeking a Senior…,Posted 30+ days ago·,,Los Angeles,CA,
96,"Data Scientist, Payment Analytics - USDS",TikTok,Hybrid,Responsibilities About TikTok U.S. Data Security TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring…,Posted 14 days ago·,228000.0,   Los Angeles,CA,
97,"Machine Learning Engineer, TikTok Branding Ads",TikTok,,Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices…,Posted 30+ days ago·,237500.0,Los Angeles,CA,
98,Senior Data Science Engineer,Relativity Space,,"Company Overview: At Relativity Space, we have two audacious goals: to build the next great commercial launch company with Terran R and to become America's…",Posted 18 days ago·,204000.0,Long Beach,CA,
99,Applied Scientist,"Amazon Development Center U.S., Inc. - B02",,"- PhD, or Master's degree and 4+ years of CS, CE, ML or related field experience - Experience in patents or publications at top-tier peer-reviewed conferences…",Posted 24 days ago·,136000.0,Pasadena,CA,
100,SENIOR DATA SCIENTIST,Los Angeles County Department of Human Resources,,"When to Apply We will be accepting applications from Friday, March 22, 2024, at 8:00 a.m. (PT) to Friday, April 5, 2024 BEFORE 5:00 p.m. (PT). Type of…",Posted 10 days ago·,155836.31,Los Angeles County,CA,
101,Senior Data Scientist,sweetgreen - Bold Careers Page,,Sweetgreen is looking for a highly skilled and experienced Senior Data Scientist. This role is responsible for tackling complex business challenges across…,Posted 7 days ago·,,Los Angeles,CA,
102,"Senior Data Engineer, Blockchain",Circle,Remote,"Circle is a financial technology company at the epicenter of the emerging internet of money, where value can finally travel like other digital data — globally…",Posted 14 days ago·,195000.0,  Los Angeles,CA,
103,Software Engineer II,Dyno Labs,,"Dyno Labs specializes in enhancing online community interaction with our versatile platform. As the company behind Dyno (dyno.gg) and ProBot (probot.io),…",Posted 30+ days ago·,,Los Angeles,CA,
104,Senior Accountant,Resident,Remote,"CRAFT MEETS COMFORT. At Resident, we believe your living space shouldn't just look good, it should feel good. That's why we've created a house of brands that…",Posted 30+ days ago·,,  Los Angeles,CA,
105,Responsible AI Risk Assessment and Measurement (Lead/Senior Manager) - X Delivery,Boston Consulting Group,,Who We Are Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest…,Posted 11 days ag,,,CA,4.2
106,"Data Scientist, Product Analytics",TikTok,Hybrid,Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. U.S. Data Security (“USDS”…,Posted 30+ days ago·,228000.0,   Los Angeles,CA,
107,"Senior Business Intelligence Analyst $110,000 - $140,000 Annual (On-site)",Commerce Casino,,"POSITION SUMMARY Commerce Casino is hiring a senior business intelligence analyst to join its staff of data scientists, engineers, and analysts on the Data…",Active 3 days ago·,,Commerce,CA,
108,Software Engineer II,"AvidXchange, Inc.",Remote,"Job Overview AvidXchange is expanding its development team. We are looking for self-motivated, enthusiastic, energetic candidates looking for the challenges…",Posted 24 days ago·,,  Burbank,CA,
109,Programmer/Analyst - Smidt Heart Institute,CEDARS-SINAI,,Job Description Grow your career at Cedars-Sinai! The Smidt Heart Institute reflects Cedars-Sinai's steadfast dedication to heart disease and research…,Posted 30+ days ago·,,Los Angeles,CA,
110,"Senior Analytics Engineer, ASE",Apple,,"Summary Posted: Feb 16, 2024 Weekly Hours: 40 Role Number:200535761 Would you like to drive the future of Apple’s products, applications, and platform…",Posted 14 days ago·,284900.0,Culver City,CA,
111,Senior Process Engineer (Advanced R&D),Freeform,,"SENIOR PROCESS ENGINEER (ADVANCED R&D) Freeform is deploying software-defined, autonomous metal 3D printing factories around the world, bringing the…",Posted 27 days ago·,200000.0,Los Angeles,CA,
112,"Growth Marketing Analyst, Paid Social",Thrive Causemetics,,"Location: In Office 4-5 days/week Who We Are: Thrive Causemetics is Bigger Than Beauty™: We are an independent, female-owned beauty brand that creates high…",Posted 30+ days ago·,,Los Angeles,CA,
113,Machine Learning Engineer,"Millennium Space Systems, A Boeing Company",,"Company Overview Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers. At Millennium, you…",Posted 30+ days ago·,111250.0,El Segundo,CA,
114,"Manager, Data Analytics",Disney,,"Manager, Data Analytics Apply Later Job ID 10066638 Location Burbank, California, United States Business Disney Music Group Date posted Nov. 10, 2023 Job…",Posted 30+ days ago·,,Burbank,CA,
115,"Entry Level Data Analyst, application via RippleMatch",RippleMatch Opportunities,,This role is with RippleMatch's partner companies. About RippleMatch RippleMatch is the recruitment automation platform changing how Gen Z finds work. By…,Posted 11 days ago·,,Los Angeles,CA,
116,"Sr. Data Analyst, Brand Marketing",Golden Hippo,Hybrid,"Where A-Players Thrive. We’re an employee-owned, vertically-integrated builder of some of America’s most popular health & wellness brands. With over 1,200…",Posted 30+ days ago·,116800.0,   Los Angeles,CA,
117,Senior Machine Learning Engineer (Modeling) - Underwriting and Credit,Cash App,Remote,"Company Description It all started with an idea at Block in 2013. Initially built to take the pain out of peer-to-peer payments, Cash App has gone from a…",Posted 18 days ago·,,  Los Angeles,CA,
118,Programmer Analyst,USC,,School: Keck School of Medicine Department: Biochemistry and Molecular Medicine Position: Programmer Analyst I There is an exciting new opportunity at the…,Posted 30+ days ago·,,Los Angeles,CA,
119,"Senior Manager, Data Science & Analytics (Nordstrom Media Network)",Nordstrom Inc,,Job Description Nordstrom is reinventing the retail industry through the power of data and artificial intelligence. The vision for Data Science & Analytics…,Posted 7 days ago·,252500.0,Los Angeles,CA,
120,"Lead Data Engineer - Scala, Spark",CyberCoders,,This role will be designing and implementing robust data infrastructure to power our data-heavy company.,Posted 4 days ag,240000.0,,CA,3.9
121,Senior Data Analyst,O Positiv,,3+ years in data / analytics / product management roles.,Posted 30+ days ago·,,Santa Monica,CA,
122,"Data Architect, Junior",Booz Allen,,"Ability to research and develop strategies for data acquisition, data migration, and data recovery.",Posted 30+ days ago·,106000.0,El Segundo,CA,
123,Application Engineer,MathWorks,Hybrid,MathWorks has a hybrid work model that enables staff members to split their time between office and home.,Posted 24 days ago·,140000.0,   Torrance,CA,
124,DataScientist,V15P1TALONNN,,"We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver…",Posted 30+ days ago·,,Culver City,CA,
125,"Marketing Science Lead, North America",Snapchat,,"Access, analyze, interpret, and communicate ads performance insights using a wide range of standard data science tooling.",Posted 30+ days ago·,194000.0,Los Angeles,CA,
126,"Manager, Data Science",Disney Direct to Consumer,,Experience fully integrating data science solutions into the business and operationalizing and developing ML models.,Posted 30+ days ago·,200200.0,Santa Monica,CA,
127,"Analyst, Quality Analytics & Performance Improvement (Remote)",Molina Healthcare,Remote,"Work in an agile business environment to derive meaningful information out of complex as well as large organizational data sets through data analysis, data…",Posted 16 days ago·,,  Long Beach,CA,
128,Product Marketing Assistant Manager,The Walt Disney Studios,,"Partner with the consumer insights, data science, and analytics teams to define goals and track the success of key launches and monitor results to inform future…",Posted 30+ days ago·,136700.0,Glendale,CA,
129,DATA & SYSTEMS ENGINEER,Iris.TV,,We put privacy and data security first.,Posted 30+ days ago·,,Los Angeles,CA,
130,Product Marketing Assistant Manager,Disney,,"Partner with the consumer insights, data science, and analytics teams to define goals and track the success of key launches and monitor results to inform future…",Posted 30+ days ago·,136700.0,Glendale,CA,
131,"Executive Director, Data Solutions Business Partnerships","Sony Pictures Entertainment, Inc.",,"Provide ongoing data product, advanced analytics and data-science Solutioning development support and coordination, representing business to support solution…",Posted 30+ days ago·,200000.0,Culver City,CA,
132,"Associate Director, Analytics","Horizon Media, Inc.",,25% Being curious to find better ways to help our clients through applied data science.,Posted 30+ days ago·,145000.0,Los Angeles,CA,
133,Postdoctoral Scholar in Machine Learning in Medicine,UCLA,,"PhD in engineering, computer science, or related field.",Posted 30+ days ago·,80000.0,Los Angeles,CA,
134,Electrical Power and Harness Subsystem Engineer,BOEING,,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 9 days ago·,141450.0,El Segundo,CA,
135,Data Engineer,CyberCoders,,"Work with our data science and product management teams to design, rapidly prototype, and productize new data product ideas and capabilities.",Posted 2 days ag,220000.0,,CA,3.9
136,Electrical Power and Harness Subsystem Engineer,ARGON ST,,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Just posted,141450.0,,CA,4.0
137,"Senior Consultant – State and Local Government, Strategy– Campus 2024",Guidehouse,,"Proficiency with urban data science analytical techniques and familiarity using multiple public datasets including BLS, BEA, NAICS data, ACS and other…",Posted 30+ days ag,155000.0,,CA,3.3
138,Responsible AI Risk Assessment and Measurement (Lead/Senior Manager) - X Delivery,Boston Consulting Group,,"5-12+ years of experience in a technical environment, including data science, engineering, or technical program/product management.",Posted 11 days ag,,,CA,4.2
139,Senior Statistician (Fixed Hybrid),UCLA Health,,"You will collaborate with staff and faculty on data management, data quality control, statistical modeling, designing study databases, and applying skill in…",Posted 24 days ago·,175000.0,Los Angeles,CA,
140,Senior Data Scientist,Disney Direct to Consumer,,Experience fully integrating data science solutions into the business and operationalizing ML models.,Posted 30+ days ago·,182490.0,Santa Monica,CA,
141,Senior Business Data Analyst,East West Bank,,Troubleshoot and root cause data anomalies.,Posted 17 days ago·,,Pasadena,CA,
142,"Director, AI Strategy",Herbalife,Remote,"Collaborate with the data governance team to establish data quality, data privacy, and data security practices.",Posted 30+ days ago·,,  Torrance,CA,
143,"Manager, Machine Learning Engineering, Generative ML Platform",Snapchat,,BS in a technical field such as computer science or equivalent years of experience.,Posted 20 days ago·,283000.0,Los Angeles,CA,
144,"Analyst, Analytics & AI Enablement",Herbalife,,"Familiarity with data preparation techniques, including data cleansing, transformation, and feature engineering.",Posted 6 days ago·,,Torrance,CA,
145,Scientific Research Associate - Jonsson Cancer Center,UCLA Health,,Prior experience working in thewet-lab component of a large cancer data science group would be considered akey asset.,Posted 30+ days ago·,120931.2,Los Angeles,CA,
146,Senior Data Engineer - Remote (US Based),UpRecruit,Remote,"Collaborate with data science and product management teams to design, prototype, and launch new data products swiftly.",Active 4 days ago·,180000.0,  Los Angeles,CA,
147,Sr. Business Data Analyst,Live Nation,,"Conduct data analysis to identify or reconcile data differences among different platforms, including multiple international data lakes and sources, each…",Posted 30+ days ago·,,Beverly Hills,CA,
148,Department of Biostatistics: Non-Senate Faculty (NSF) Unit 18 Pre-six Lecturer for AY 24-25,UCLA,,Biostatistics / Ucla Fielding School Of Public / UCLA.,Posted 9 days ago·,13804.5,Los Angeles,CA,
149,Software Engineer,National Football League,,"Degree in computer science, engineering, data science or related field preferred.",Posted 30+ days ago·,,Inglewood,CA,
150,Senior Machine Learning Engineer,Freeform,,"Master's or PhD in computer science, applied mathematics, machine learning, data science highly preferred.",Posted 27 days ago·,250000.0,Los Angeles,CA,
151,"Senior Business Intelligence Analyst $110,000 - $140,000 Annual (On-site)",Commerce Casino,,"⦁ Undergraduate education in data science or analytics, computer science, statistics, business, sciences, or equivalent relatable combination of work experience…",Posted 30+ days ago·,,Commerce,CA,
